"INDEX 
","CURRENT 
","%CHNG 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","PREV. DAY 
 08-Jun-2021","1W AGO 
 03-Jun-2021","1M AGO 
 10-May-2021","1Y AGO 
 09-Jun-2020","52W H 
","52W L 
","365 D % CHNG 
 09-Jun-2020","30 D % CHNG 
 10-May-2021"
"NIFTY 50","15,799.35","0.39","15,796.45","15,835.55","15,749.80","15,737.75","15,737.75","15,670.25","14,696.50","9,902.00","15,835.55","10,072.65","59.56","7.50"
"NIFTY NEXT 50","39,294.85","0.22","39,347.45","39,399.60","39,007.35","39,207.65","39,207.65","38,914.50","36,308.65","24,768.80","39,399.60","25,039.20","58.65","8.22"
"NIFTY 100","16,079.60","0.36","16,080.65","16,116.10","16,019.90","16,021.50","16,021.50","15,945.85","14,940.00","10,082.10","16,116.10","10,246.75","59.49","7.63"
"NIFTY 200","8,394.45","0.34","8,398.70","8,415.75","8,362.70","8,365.60","8,365.60","8,302.70","7,774.70","5,144.75","8,415.75","5,230.50","63.17","7.97"
"NIFTY 500","13,563.85","0.35","13,577.05","13,601.00","13,513.85","13,517.20","13,517.20","13,393.90","12,537.95","8,137.00","13,601.00","8,282.50","66.69","8.18"
"NIFTY MIDCAP 50","7,604.75","0.20","7,627.15","7,653.40","7,564.75","7,589.30","7,589.30","7,414.50","6,905.10","3,944.55","7,653.40","4,043.45","92.79","10.13"
"NIFTY MIDCAP 100","27,329.15","0.22","27,424.25","27,474.45","27,207.40","27,268.45","27,268.45","26,551.60","24,770.40","14,157.80","27,474.45","14,433.75","93.03","10.33"
"NIFTY SMALLCAP 100","9,750.05","0.54","9,778.70","9,789.95","9,711.75","9,698.05","9,698.05","9,475.10","8,890.55","4,398.35","9,789.95","4,525.00","121.68","9.67"
"INDIA VIX","14.10","-5.99","15.00","15.00","13.94","15.00","15.00","15.94","20.08","29.66","35.31","11.95","-52.45","-29.77"
"NIFTY MIDCAP 150","10,262.40","0.25","10,300.95","10,315.55","10,220.70","10,236.95","10,236.95","9,974.00","9,323.95","5,375.75","10,315.55","5,498.35","90.90","10.06"
