"INDEX 
","CURRENT 
","%CHNG 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","PREV. DAY 
 08-Jun-2021","1W AGO 
 03-Jun-2021","1M AGO 
 10-May-2021","1Y AGO 
 09-Jun-2020","52W H 
","52W L 
","365 D % CHNG 
 09-Jun-2020","30 D % CHNG 
 10-May-2021"
"NIFTY SMALLCAP 50","4,910.60","0.98","4,903.80","4,927.00","4,886.10","4,863.00","4,863.00","4,740.40","4,415.70","2,057.85","4,927.00","2,118.70","138.63","11.21"
"NIFTY SMALLCAP 250","8,402.90","0.36","8,448.25","8,455.15","8,375.75","8,373.10","8,373.10","8,181.00","7,597.40","3,876.85","8,455.15","3,988.80","116.75","10.60"
"NIFTY MIDSMALLCAP 400","9,594.10","0.28","9,635.00","9,646.50","9,557.90","9,567.15","9,567.15","9,329.45","8,703.80","4,836.10","9,646.50","4,955.15","98.39","10.23"
"NIFTY BANK","35,047.40","-0.24","35,324.65","35,344.00","34,891.30","35,131.20","35,131.20","35,291.65","32,452.30","20,525.15","37,708.75","20,404.90","70.75","8.00"
"NIFTY AUTO","10,765.50","0.40","10,772.35","10,807.15","10,717.25","10,722.70","10,722.70","10,735.75","10,013.65","6,373.60","11,093.15","6,500.15","68.91","7.51"
"NIFTY FINANCIAL SERVICES","16,639.40","-0.17","16,749.00","16,763.25","16,601.75","16,667.25","16,667.25","16,744.20","15,507.35","10,035.70","17,654.45","10,113.55","65.80","7.30"
"NIFTY FINANCIAL SERVICES 25/50","16,678.85","-0.15","16,772.60","16,796.00","16,640.15","16,704.25","16,704.25","16,644.70","15,452.40","-","-","-","-","7.94"
"NIFTY FMCG","35,646.95","-0.24","35,858.20","35,869.65","35,589.05","35,731.30","35,731.30","35,138.00","34,057.40","29,092.45","35,901.75","28,592.45","22.53","4.67"
"NIFTY IT","28,217.50","1.51","27,866.25","28,347.50","27,820.50","27,798.00","27,798.00","26,996.75","25,855.45","-","28,347.50","14,320.70","90.12","9.14"
"NIFTY MEDIA","1,881.80","-0.96","1,925.15","1,927.25","1,874.65","1,900.10","1,900.10","1,817.95","1,629.80","1,298.80","1,927.25","1,270.20","44.89","15.46"
"NIFTY METAL","5,406.80","2.69","5,308.15","5,421.35","5,262.65","5,265.20","5,265.20","5,339.15","5,290.45","1,954.85","5,524.25","1,964.35","176.58","2.20"
"NIFTY PHARMA","14,464.05","1.05","14,331.95","14,530.95","14,300.10","14,313.90","14,313.90","14,101.55","14,065.05","9,933.40","14,530.95","9,832.65","45.61","2.84"
"NIFTY PSU BANK","2,474.30","-0.54","2,502.80","2,513.30","2,462.05","2,487.65","2,487.65","2,491.65","2,239.70","1,340.85","2,660.60","1,232.55","84.53","10.47"
"NIFTY PRIVATE BANK","18,435.80","-0.41","18,616.10","18,625.85","18,371.10","18,511.80","18,511.80","18,523.35","17,222.60","11,313.25","20,068.55","11,219.00","62.96","7.04"
"NIFTY REALTY","357.85","-1.04","364.45","364.80","357.00","361.60","361.60","353.80","310.35","202.30","365.60","192.40","76.89","15.31"
"NIFTY DIVIDEND OPPORTUNITIES 50","3,324.70","0.45","3,323.25","3,330.35","3,312.85","3,309.65","3,309.65","3,259.35","3,132.80","2,197.55","3,332.55","2,174.55","51.29","6.13"
"NIFTY GROWTH SECTORS 15","7,606.75","0.24","7,610.30","7,617.90","7,572.35","7,588.40","7,588.40","7,535.10","7,294.35","4,998.75","7,694.25","5,019.95","52.17","4.28"
"NIFTY100 QUALITY 30","3,604.55","0.45","3,600.75","3,609.45","3,595.80","3,588.30","3,588.30","3,547.35","3,333.25","2,363.00","-","-","52.54","8.14"
"NIFTY50 VALUE 20","7,999.20","0.65","7,975.40","8,006.55","7,965.40","7,947.45","7,947.45","7,838.20","7,537.50","4,921.15","8,006.55","4,834.45","62.55","6.13"
"NIFTY50 TR 2X LEVERAGE","10,106.05","0.84","10,102.40","10,151.40","10,043.90","10,021.85","10,021.85","9,925.70","8,723.75","4,125.90","10,151.40","4,265.20","144.94","15.85"
"NIFTY50 PR 2X LEVERAGE","7,517.60","0.77","7,514.85","7,551.35","7,471.35","7,459.85","7,459.85","7,401.10","6,530.40","3,143.95","7,551.35","3,248.55","139.11","15.12"
"NIFTY50 TR 1X INVERSE","239.80","-0.42","239.85","240.55","239.25","240.80","240.80","241.95","258.20","386.55","379.80","239.25","-37.96","-7.13"
"NIFTY50 PR 1X INVERSE","277.90","-0.39","277.95","278.80","277.30","279.00","279.00","280.05","298.30","442.55","434.95","277.30","-37.20","-6.84"
"NIFTY50 DIVIDEND POINTS","56.30","10.25","56.30","56.30","56.30","51.06","51.06","37.38","6.67","12.23","-","-","360.34","744.08"
"NIFTY ALPHA 50","27,843.40","0.26","27,934.50","28,037.50","27,641.70","27,771.20","27,771.20","27,226.50","24,986.60","12,761.70","-","-","118.18","11.43"
"NIFTY50 EQUAL WEIGHT","17,916.15","0.39","17,920.70","17,952.65","17,811.35","17,846.75","17,846.75","17,693.80","16,748.90","-","-","-","68.90","6.97"
"NIFTY100 EQUAL WEIGHT","19,149.70","0.33","19,162.55","19,189.30","19,025.30","19,086.80","19,086.80","18,926.50","17,824.45","-","-","-","64.25","7.44"
"NIFTY100 LOW VOLATILITY 30","12,357.35","0.46","12,345.05","12,380.15","12,316.55","12,301.30","12,301.30","12,116.60","11,498.80","8,096.90","-","-","52.62","7.47"
"NIFTY200 QUALITY 30","13,360.30","0.35","13,359.45","13,388.25","13,335.15","13,313.95","13,313.95","13,145.85","12,388.35","8,987.15","-","-","48.66","7.85"
"NIFTY ALPHA LOW-VOLATILITY 30","15,620.75","0.20","15,648.35","15,653.90","15,568.60","15,589.85","15,589.85","15,301.85","14,579.60","-","-","-","-","7.14"
"NIFTY200 MOMENTUM 30","17,974.20","0.85","17,904.60","17,996.15","17,795.60","17,822.95","17,822.95","17,731.60","16,598.30","-","-","-","-","8.29"
"NIFTY COMMODITIES","5,273.10","0.74","5,262.15","5,283.75","5,210.10","5,234.35","5,234.35","5,206.60","4,954.95","2,790.85","5,294.85","2,811.70","88.94","6.42"
"NIFTY INDIA CONSUMPTION","6,300.90","-0.15","6,330.45","6,332.15","6,289.90","6,310.30","6,310.30","6,248.70","5,909.90","4,619.35","6,338.60","4,628.80","36.40","6.62"
"NIFTY CPSE","2,108.85","1.50","2,096.35","2,118.85","2,081.65","2,077.75","2,077.75","2,038.05","2,008.45","1,456.20","2,118.85","1,252.35","44.82","5.00"
"NIFTY ENERGY","20,797.20","0.41","20,826.75","20,972.90","20,647.50","20,712.80","20,712.80","20,368.05","18,717.40","-","21,061.10","14,070.75","49.04","11.11"
"NIFTY INFRASTRUCTURE","4,471.90","-0.03","4,491.65","4,513.30","4,455.90","4,473.05","4,473.05","4,432.65","4,145.05","2,908.75","4,530.00","2,952.65","53.74","7.89"
"NIFTY100 LIQUID 15","4,033.35","0.05","4,047.55","4,057.50","4,014.30","4,031.20","4,031.20","4,017.85","3,729.35","2,502.20","4,061.90","2,478.50","61.19","8.15"
"NIFTY MIDCAP LIQUID 15","6,432.30","-0.16","6,474.10","6,506.30","6,402.95","6,442.60","6,442.60","6,389.00","5,796.65","3,309.95","6,506.30","3,339.40","94.33","10.97"
"NIFTY MNC","17,335.85","0.39","17,329.35","17,383.25","17,278.45","17,269.05","17,269.05","17,093.15","16,381.35","12,696.80","17,383.25","12,771.85","36.54","5.83"
"NIFTY PSE","3,734.40","0.70","3,740.30","3,765.30","3,699.90","3,708.45","3,708.45","3,624.70","3,493.45","2,476.70","3,766.05","2,141.20","50.78","6.90"
"NIFTY SERVICES SECTOR","21,847.65","0.22","21,895.75","21,917.70","21,807.40","21,799.65","21,799.65","21,676.90","20,401.90","13,171.80","22,174.20","13,377.65","65.87","7.09"
"NIFTY100 ESG SECTOR LEADERS","2,700.45","0.54","2,695.40","2,703.40","2,691.95","2,686.05","2,686.05","2,673.40","2,521.15","-","-","-","-","7.11"
"NIFTY 8-13 YR G-SEC","2,276.77","0.13","2,274.14","2,276.96","2,274.14","2,273.76","2,273.99","2,267.79","2,260.64","2,178.11","-","-","4.53","0.71"
"NIFTY 10 YR BENCHMARK G-SEC","2,063.52","0.09","2,061.83","2,064.25","2,061.83","2,061.49","2,061.41","2,058.28","2,053.47","1,993.98","-","-","3.49","0.49"
"NIFTY 10 YR BENCHMARK G-SEC (CLEAN PRICE)","957.18","0.08","956.40","957.52","956.40","956.40","956.36","955.85","957.02","980.29","-","-","-2.36","0.02"
"NIFTY 4-8 YR G-SEC INDEX","2,437.92","0.07","2,436.41","2,439.37","2,436.09","2,436.03","2,436.36","2,424.72","2,419.89","2,311.82","-","-","5.45","0.75"
"NIFTY 11-15 YR G-SEC INDEX","2,440.75","0.20","2,436.09","2,441.60","2,436.09","2,435.64","2,436.05","2,423.29","2,428.50","2,350.01","-","-","3.86","0.50"
"NIFTY 15 YR AND ABOVE G-SEC INDEX","2,634.79","0.02","2,634.54","2,635.67","2,633.63","2,634.05","2,633.38","2,627.89","2,656.13","2,568.51","-","-","2.58","-0.80"
"NIFTY COMPOSITE G-SEC INDEX","2,324.05","0.11","2,321.86","2,324.60","2,321.80","2,321.47","2,321.62","2,312.00","2,308.90","2,218.05","-","-","4.78","0.66"
