"INDEX 
","CURRENT 
","%CHNG 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","PREV. DAY 
 08-Jun-2021","1W AGO 
 03-Jun-2021","1M AGO 
 10-May-2021","1Y AGO 
 09-Jun-2020","52W H 
","52W L 
","365 D % CHNG 
 09-Jun-2020","30 D % CHNG 
 10-May-2021"
"NIFTY 50","15,683.35","-0.05","15,756.50","15,761.50","15,450.90","15,691.40","15,691.40","15,799.35","15,030.15","10,091.65","15,901.60","10,223.60","55.41","4.35"
"NIFTY NEXT 50","38,315.15","-0.53","38,478.50","38,554.90","37,479.85","38,519.30","38,519.30","39,294.85","36,967.30","24,953.65","39,399.60","25,614.15","53.55","3.65"
"NIFTY 100","15,915.55","-0.13","15,988.65","15,992.95","15,665.25","15,936.20","15,936.20","16,079.60","15,272.55","10,258.15","16,167.60","10,414.50","55.15","4.21"
"NIFTY 200","8,286.70","-0.25","8,334.10","8,336.20","8,149.45","8,307.25","8,307.25","8,394.45","7,944.25","5,235.45","8,437.30","5,316.80","58.28","4.31"
"NIFTY 500","13,386.55","-0.29","13,471.90","13,474.95","13,155.55","13,425.15","13,425.15","13,563.85","12,809.00","8,283.65","13,634.35","8,426.95","61.60","4.51"
"NIFTY MIDCAP 50","7,347.60","-1.14","7,467.00","7,470.65","7,144.15","7,432.40","7,432.40","7,604.75","7,046.60","4,035.60","7,656.15","4,073.70","82.07","4.27"
"NIFTY MIDCAP 100","26,496.30","-1.05","26,851.85","26,881.80","25,894.40","26,776.35","26,776.35","27,329.15","25,232.80","14,427.55","27,474.45","14,647.30","83.65","5.01"
"NIFTY SMALLCAP 100","9,573.75","-0.88","9,710.70","9,728.50","9,291.35","9,658.50","9,658.50","9,750.05","9,052.35","4,493.20","9,824.05","4,595.00","113.07","5.76"
"INDIA VIX","14.80","-3.20","15.29","16.62","10.60","15.29","15.29","14.10","19.32","31.46","31.29","10.60","-52.96","-23.40"
"NIFTY MIDCAP 150","10,004.40","-0.91","10,130.30","10,142.65","9,792.25","10,096.00","10,096.00","10,262.40","9,495.00","5,483.80","10,316.30","5,602.30","82.44","5.36"
"NIFTY SMALLCAP 50","4,806.60","-1.35","4,897.30","4,906.65","4,688.05","4,872.45","4,872.45","4,910.60","4,497.70","2,108.25","4,949.60","2,165.05","127.99","6.87"
"NIFTY SMALLCAP 250","8,241.25","-0.72","8,349.80","8,365.85","8,005.55","8,300.90","8,300.90","8,402.90","7,760.25","3,959.90","8,455.15","4,056.05","108.12","6.20"
"NIFTY MIDSMALLCAP 400","9,370.25","-0.85","9,489.90","9,502.35","9,150.45","9,450.50","9,450.50","9,594.10","8,871.65","4,935.15","9,646.50","5,047.00","89.87","5.62"
"NIFTY BANK","34,558.00","-0.14","34,735.15","34,787.40","33,908.95","34,605.40","34,605.40","35,047.40","33,685.20","20,956.30","37,708.75","20,404.90","64.91","2.59"
"NIFTY AUTO","10,443.75","-0.75","10,540.75","10,552.05","10,229.10","10,523.00","10,523.00","10,765.50","10,249.10","6,535.90","11,093.15","6,605.50","59.79","1.90"
"NIFTY FINANCIAL SERVICES","16,419.25","0.06","16,484.10","16,497.45","16,139.95","16,409.55","16,409.55","16,639.40","15,981.45","10,372.00","17,654.45","10,113.55","58.30","2.74"
"NIFTY FINANCIAL SERVICES 25/50","16,443.90","-","16,524.25","16,533.10","16,136.40","16,444.30","16,444.30","16,678.85","15,866.05","-","-","-","-","3.64"
"NIFTY FMCG","36,287.15","0.29","36,251.30","36,360.60","35,796.60","36,183.55","36,183.55","35,646.95","34,729.70","28,648.70","36,360.60","28,969.35","26.66","4.48"
"NIFTY IT","28,445.60","-0.58","28,829.50","28,934.05","28,227.55","28,611.35","28,611.35","28,217.50","25,982.80","14,551.25","28,934.05","14,476.45","95.49","9.48"
"NIFTY MEDIA","1,853.95","-0.64","1,876.80","1,884.35","1,772.55","1,865.95","1,865.95","1,881.80","1,655.20","1,360.65","1,927.25","1,270.20","36.25","12.01"
"NIFTY METAL","5,048.65","-0.91","5,086.75","5,098.85","4,858.80","5,095.10","5,095.10","5,406.80","5,245.95","1,998.65","5,524.25","1,964.35","152.60","-3.76"
"NIFTY PHARMA","14,030.60","-0.36","14,110.50","14,194.90","13,855.10","14,081.60","14,081.60","14,464.05","14,001.35","9,975.30","14,530.95","9,832.65","40.65","0.21"
"NIFTY PSU BANK","2,379.45","-1.77","2,444.25","2,448.10","2,303.60","2,422.25","2,422.25","2,474.30","2,254.00","1,387.50","2,660.60","1,232.55","71.49","5.57"
"NIFTY PRIVATE BANK","18,209.70","0.05","18,262.80","18,303.90","17,850.15","18,199.90","18,199.90","18,435.80","17,847.85","11,513.75","20,068.55","11,219.00","58.16","2.03"
"NIFTY REALTY","343.85","-0.84","349.15","349.45","331.60","346.75","346.75","357.85","313.80","200.15","365.60","192.40","71.80","9.58"
"NIFTY DIVIDEND OPPORTUNITIES 50","3,298.20","-0.65","3,333.15","3,335.60","3,255.85","3,319.75","3,319.75","3,324.70","3,168.25","2,178.65","3,348.50","2,247.70","51.39","4.10"
"NIFTY GROWTH SECTORS 15","7,514.40","-0.17","7,536.75","7,546.25","7,424.05","7,527.25","7,527.25","7,606.75","7,383.10","5,058.60","7,694.25","5,019.95","48.55","1.78"
"NIFTY100 QUALITY 30","3,596.65","-0.14","3,612.45","3,619.65","3,552.15","3,601.75","3,601.75","3,604.55","3,430.05","2,367.45","-","-","51.92","4.86"
"NIFTY50 VALUE 20","7,965.10","-0.34","8,029.15","8,035.40","7,863.65","7,991.95","7,991.95","7,999.20","7,640.90","4,860.15","8,055.40","4,978.95","63.89","4.24"
"NIFTY50 TR 2X LEVERAGE","9,961.25","-0.11","10,054.20","10,054.20","9,666.60","9,972.40","9,972.40","10,106.05","9,114.45","4,279.30","10,237.35","4,385.75","132.78","9.29"
"NIFTY50 PR 2X LEVERAGE","7,402.30","-0.11","7,471.40","7,471.40","7,183.35","7,410.60","7,410.60","7,517.60","6,822.85","3,260.90","7,611.85","3,340.45","127.00","8.49"
"NIFTY50 TR 1X INVERSE","241.60","0.06","240.45","245.15","240.45","241.45","241.45","239.80","252.55","379.20","374.10","238.30","-36.29","-4.34"
"NIFTY50 PR 1X INVERSE","280.15","0.07","278.80","284.25","278.80","279.95","279.95","277.90","291.75","434.10","428.35","276.25","-35.46","-3.98"
"NIFTY50 DIVIDEND POINTS","64.30","-","64.30","64.30","64.30","64.30","64.30","56.30","6.67","12.23","-","-","425.76","864.02"
"NIFTY ALPHA 50","26,596.40","-0.53","26,647.65","26,720.25","25,899.80","26,737.90","26,737.90","27,843.40","25,588.35","13,321.65","-","-","99.65","3.94"
"NIFTY50 EQUAL WEIGHT","17,565.90","-0.52","17,713.70","17,719.25","17,295.90","17,658.40","17,658.40","17,916.15","17,059.65","10,447.40","-","-","68.14","2.97"
"NIFTY100 EQUAL WEIGHT","18,718.05","-0.60","18,856.25","18,866.30","18,377.45","18,831.75","18,831.75","19,149.70","18,105.00","11,519.20","-","-","62.49","3.39"
"NIFTY100 LOW VOLATILITY 30","12,279.90","-0.57","12,390.00","12,400.05","12,156.60","12,350.60","12,350.60","12,357.35","11,752.20","8,103.45","-","-","51.54","4.49"
