"INDEX 
","CURRENT 
","%CHNG 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","PREV. DAY 
 08-Jun-2021","1W AGO 
 03-Jun-2021","1M AGO 
 10-May-2021","1Y AGO 
 09-Jun-2020","52W H 
","52W L 
","365 D % CHNG 
 09-Jun-2020","30 D % CHNG 
 10-May-2021"
"NIFTY MIDSMALLCAP 400","9,613.90","0.55","9,597.70","9,639.30","9,593.65","9,561.30","9,594.10","9,508.45","8,589.85","4,866.00","9,646.50","4,955.15","96.49","11.31"
"NIFTY BANK","35,247.75","0.85","35,038.05","35,317.40","34,917.90","34,950.60","35,047.40","35,085.30","32,169.55","20,654.55","37,708.75","20,404.90","69.22","8.64"
"NIFTY AUTO","10,754.40","0.01","10,768.20","10,803.25","10,739.40","10,753.10","10,765.50","10,873.90","9,810.45","6,559.40","11,093.15","6,500.15","63.93","9.61"
"NIFTY FINANCIAL SERVICES","16,676.80","0.57","16,642.35","16,700.50","16,587.30","16,581.70","16,639.40","16,576.00","15,412.35","10,111.75","17,654.45","10,113.55","63.98","7.59"
"NIFTY FINANCIAL SERVICES 25/50","16,705.45","0.38","16,703.00","16,740.90","16,656.30","16,642.75","16,678.85","16,573.05","15,363.85","-","-","-","-","8.32"
"NIFTY FMCG","35,921.50","0.73","35,691.40","35,953.65","35,673.90","35,659.95","35,646.95","35,672.45","34,781.50","29,145.60","35,953.65","28,592.45","22.35","2.53"
"NIFTY IT","28,377.85","0.23","28,384.70","28,544.60","28,325.90","28,314.10","28,217.50","27,623.80","25,588.20","14,402.75","28,544.60","14,320.70","96.59","10.65"
"NIFTY MEDIA","1,907.30","2.00","1,878.70","1,923.05","1,875.70","1,869.85","1,881.80","1,854.75","1,604.35","1,287.55","1,927.25","1,270.20","45.23","16.55"
"NIFTY METAL","5,368.95","-0.05","5,397.55","5,412.75","5,356.15","5,371.60","5,406.80","5,258.90","5,091.35","1,966.10","5,524.25","1,964.35","173.21","5.50"
"NIFTY PHARMA","14,322.65","-0.88","14,464.50","14,505.00","14,309.55","14,449.60","14,464.05","14,189.85","13,885.50","9,982.80","14,530.95","9,832.65","44.74","4.06"
"NIFTY PSU BANK","2,482.40","-0.26","2,489.70","2,514.20","2,478.70","2,488.75","2,474.30","2,464.50","2,194.20","1,352.05","2,660.60","1,232.55","84.07","13.42"
"NIFTY PRIVATE BANK","18,549.95","1.07","18,412.35","18,577.20","18,352.55","18,352.70","18,435.80","18,506.95","17,073.65","11,383.50","20,068.55","11,219.00","61.22","7.49"
"NIFTY REALTY","357.05","1.32","355.00","358.60","354.05","352.40","357.85","355.80","300.45","204.65","365.60","192.40","72.20","17.29"
"NIFTY DIVIDEND OPPORTUNITIES 50","3,336.25","0.20","3,339.65","3,348.50","3,334.55","3,329.65","3,324.70","3,309.05","3,130.25","2,193.05","3,348.50","2,174.55","51.83","6.37"
"NIFTY GROWTH SECTORS 15","7,602.35","0.02","7,606.75","7,627.30","7,593.95","7,601.20","7,606.75","7,593.80","7,315.35","5,023.45","7,694.25","5,019.95","51.31","3.91"
"NIFTY100 QUALITY 30","3,626.05","0.55","3,616.90","3,633.15","3,614.70","3,606.10","3,604.55","3,576.65","3,342.75","2,372.25","-","-","52.01","7.88"
"NIFTY50 VALUE 20","8,023.20","0.07","8,031.05","8,055.40","8,017.95","8,017.60","7,999.20","7,952.25","7,543.85","4,883.80","8,055.40","4,834.45","64.17","6.28"
"NIFTY50 TR 2X LEVERAGE","10,196.40","0.72","10,193.45","10,237.35","10,167.75","10,123.80","10,106.05","10,010.20","8,700.00","4,184.65","10,237.35","4,265.20","141.93","16.37"
"NIFTY50 PR 2X LEVERAGE","7,581.45","0.72","7,579.25","7,611.85","7,560.10","7,527.45","7,517.60","7,464.05","6,512.60","3,188.75","7,611.85","3,248.55","136.06","15.58"
"NIFTY50 TR 1X INVERSE","238.75","-0.35","238.80","239.10","238.30","239.60","239.80","240.95","258.60","383.80","379.80","238.30","-37.57","-7.35"
"NIFTY50 PR 1X INVERSE","276.80","-0.34","276.85","277.20","276.25","277.75","277.90","278.90","298.75","439.40","434.95","276.25","-36.79","-7.03"
"NIFTY50 DIVIDEND POINTS","59.80","-","59.80","59.80","59.80","59.80","56.30","37.38","6.67","12.23","-","-","388.96","796.55"
"NIFTY ALPHA 50","27,537.15","-0.07","27,608.55","27,669.65","27,480.15","27,557.30","27,843.40","27,765.05","24,543.50","12,882.65","-","-","113.91","12.28"
"NIFTY50 EQUAL WEIGHT","17,929.85","0.12","17,957.65","17,994.00","17,914.10","17,908.15","17,916.15","17,847.65","16,666.90","10,446.60","-","-","71.43","7.45"
"NIFTY100 EQUAL WEIGHT","19,134.30","0.13","19,159.55","19,189.60","19,118.80","19,109.00","19,149.70","19,052.20","17,644.30","11,515.05","-","-","65.95","8.30"
"NIFTY100 LOW VOLATILITY 30","12,407.55","0.28","12,401.05","12,447.40","12,394.45","12,372.85","12,357.35","12,279.00","11,532.45","8,129.25","-","-","52.20","7.29"
"NIFTY200 QUALITY 30","13,432.60","0.50","13,409.30","13,453.80","13,400.15","13,365.90","13,360.30","13,299.35","12,431.00","9,019.55","-","-","48.19","7.52"
"NIFTY ALPHA LOW-VOLATILITY 30","15,724.90","0.43","15,686.65","15,771.55","15,680.90","15,657.85","15,620.75","15,470.25","14,623.35","-","-","-","-","7.07"
"NIFTY200 MOMENTUM 30","17,998.60","0.38","18,020.35","18,057.70","17,958.55","17,930.60","17,974.20","17,715.00","16,418.70","-","-","-","-","9.21"
"NIFTY COMMODITIES","5,288.85","0.11","5,295.85","5,323.50","5,276.40","5,283.15","5,273.10","5,249.50","4,892.55","2,819.75","5,323.50","2,811.70","87.36","7.98"
"NIFTY INDIA CONSUMPTION","6,357.40","0.91","6,316.45","6,361.10","6,313.20","6,300.25","6,300.90","6,311.95","5,980.90","4,674.35","6,361.10","4,628.80","34.78","5.34"
"NIFTY CPSE","2,100.20","-0.42","2,120.55","2,125.45","2,097.90","2,109.05","2,108.85","2,059.40","1,962.20","1,428.40","2,125.45","1,252.35","47.65","7.48"
"NIFTY ENERGY","20,900.10","-0.01","21,022.95","21,066.10","20,851.75","20,902.70","20,797.20","20,745.00","18,652.95","13,855.75","21,066.10","14,070.75","50.86","12.06"
"NIFTY INFRASTRUCTURE","4,475.90","0.08","4,496.90","4,499.10","4,469.35","4,472.35","4,471.90","4,506.30","4,124.90","2,954.20","4,530.00","2,952.65","51.39","8.42"
"NIFTY100 LIQUID 15","4,055.60","0.41","4,054.55","4,068.60","4,048.30","4,039.15","4,033.35","4,035.10","3,716.40","-","4,068.60","2,478.50","61.42","8.68"
"NIFTY MIDCAP LIQUID 15","6,431.60","0.44","6,425.10","6,446.15","6,412.15","6,403.15","6,432.30","6,447.70","5,756.65","3,376.80","6,506.30","3,339.40","89.62","11.23"
"NIFTY MNC","17,412.85","0.60","17,345.35","17,426.90","17,321.05","17,309.85","17,335.85","17,274.70","16,386.20","12,791.25","17,426.90","12,771.85","35.33","5.64"
"NIFTY PSE","3,716.45","-0.19","3,739.10","3,755.35","3,712.60","3,723.45","3,734.40","3,687.15","3,412.15","2,461.65","3,766.05","2,141.20","51.26","9.12"
"NIFTY SERVICES SECTOR","21,931.85","0.53","21,904.90","21,965.40","21,858.80","21,815.25","21,847.65","21,703.30","20,256.80","13,189.40","22,174.20","13,377.65","65.40","7.69"
"NIFTY100 ESG SECTOR LEADERS","2,709.00","0.21","2,712.05","2,715.55","2,706.75","2,703.20","2,700.45","2,686.45","2,512.30","-","-","-","-","7.60"
"NIFTY 8-13 YR G-SEC","2,271.63","-0.23","2,277.47","2,277.47","2,271.08","2,277.09","2,276.77","2,273.39","2,258.65","-","-","-","4.56","0.84"
"NIFTY 10 YR BENCHMARK G-SEC","2,060.08","-0.22","2,065.14","2,065.14","2,058.83","2,064.80","2,063.52","2,062.71","2,051.75","1,992.16","-","-","3.66","0.65"
"NIFTY 10 YR BENCHMARK G-SEC (CLEAN PRICE)","954.96","-0.24","957.31","957.31","954.38","957.31","957.18","957.28","955.88","979.24","-","-","-2.23","0.16"
"NIFTY 4-8 YR G-SEC INDEX","2,426.50","-0.38","2,436.35","2,436.35","2,426.03","2,435.97","2,437.92","2,433.85","2,416.34","2,312.07","-","-","5.38","0.83"
"NIFTY 11-15 YR G-SEC INDEX","2,430.65","-0.40","2,440.91","2,440.91","2,430.37","2,440.46","2,440.75","2,433.44","2,426.30","2,347.93","-","-","3.95","0.59"
"NIFTY 15 YR AND ABOVE G-SEC INDEX","2,630.47","-0.18","2,635.90","2,636.06","2,630.34","2,635.40","2,634.79","2,638.25","2,652.64","2,567.95","-","-","2.62","-0.66"
"NIFTY COMPOSITE G-SEC INDEX","2,315.46","-0.33","2,323.61","2,323.61","2,314.91","2,323.22","2,324.05","2,320.18","2,306.32","2,217.52","-","-","4.79","0.75"
