"INDEX 
","CURRENT 
","%CHNG 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","PREV. DAY 
 08-Jun-2021","1W AGO 
 03-Jun-2021","1M AGO 
 10-May-2021","1Y AGO 
 09-Jun-2020","52W H 
","52W L 
","365 D % CHNG 
 09-Jun-2020","30 D % CHNG 
 10-May-2021"
"NIFTY 50","15,869.25","0.36","15,866.95","15,901.60","15,842.40","15,811.85","15,799.35","15,740.10","14,677.80","9,972.90","15,901.60","10,072.65","58.55","7.73"
"NIFTY NEXT 50","39,248.75","0.32","39,246.90","39,351.60","39,172.35","39,121.95","39,294.85","39,096.75","35,790.80","-","39,399.60","25,039.20","57.95","9.31"
"NIFTY 100","16,136.65","0.35","16,134.30","16,167.60","16,113.60","16,079.70","16,079.60","16,017.20","14,893.20","10,158.30","16,167.60","10,246.75","58.29","7.97"
"NIFTY 200","8,421.75","0.39","8,416.55","8,437.30","8,406.90","8,389.25","8,394.45","8,354.70","7,737.25","5,186.50","8,437.30","5,230.50","61.75","8.43"
"NIFTY 500","13,607.80","0.40","13,601.35","13,634.35","13,587.75","13,554.15","13,563.85","13,496.55","12,472.15","-","13,634.35","8,282.50","66.57","8.68"
"NIFTY MIDCAP 50","7,623.80","0.68","7,603.65","7,656.15","7,593.00","7,572.00","7,604.75","7,521.70","6,785.10","4,020.05","7,656.15","4,043.45","88.36","11.60"
"NIFTY MIDCAP 100","27,364.35","0.61","27,260.95","27,432.05","27,236.65","27,198.50","27,329.15","27,042.80","24,363.65","14,339.35","27,474.45","14,433.75","89.68","11.64"
"NIFTY SMALLCAP 100","9,760.45","0.45","9,766.35","9,811.70","9,749.15","9,717.05","9,750.05","9,674.40","8,759.05","4,393.50","9,811.70","4,525.00","121.17","10.94"
"INDIA VIX","14.61","-0.74","14.72","15.16","13.28","14.72","14.10","15.23","20.27","30.82","34.02","11.95","-52.26","-27.40"
"NIFTY MIDCAP 150","10,292.10","0.57","10,264.80","10,316.30","10,253.95","10,233.45","10,262.40","10,162.60","9,188.35","5,426.05","10,316.30","5,498.35","88.60","11.37"
"NIFTY SMALLCAP 50","4,911.00","0.16","4,931.90","4,949.60","4,905.85","4,903.25","4,910.60","4,844.55","4,354.55","-","4,949.60","2,118.70","138.27","12.60"
"NIFTY SMALLCAP 250","8,404.45","0.50","8,408.75","8,443.80","8,393.95","8,362.80","8,402.90","8,343.05","7,523.10","-","8,455.15","3,988.80","115.71","11.16"
