"INDEX 
","CURRENT 
","%CHNG 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","PREV. DAY 
 08-Jun-2021","1W AGO 
 03-Jun-2021","1M AGO 
 10-May-2021","1Y AGO 
 09-Jun-2020","52W H 
","52W L 
","365 D % CHNG 
 09-Jun-2020","30 D % CHNG 
 10-May-2021"
"NIFTY 50","15,737.75","0.65","15,692.10","15,751.25","15,648.50","15,635.35","15,740.10","15,690.35","14,942.35","10,046.65","15,800.45","9,544.35","55.63","4.64"
"NIFTY NEXT 50","39,207.65","1.22","38,943.20","39,235.80","38,885.25","38,734.85","39,096.75","38,736.35","36,190.15","-","39,364.05","23,907.35","52.95","7.03"
"NIFTY 100","16,021.50","0.73","15,966.85","16,032.35","15,925.70","15,904.75","16,017.20","15,952.65","15,146.65","10,231.25","16,082.80","9,719.65","55.45","5.01"
"NIFTY 200","8,365.60","0.84","8,332.30","8,370.50","8,312.40","8,295.80","8,354.70","8,298.25","7,868.85","5,213.20","8,396.95","4,957.00","59.13","5.43"
"NIFTY 500","13,517.20","0.90","13,458.65","13,524.85","13,431.25","13,396.40","13,496.55","13,380.50","12,669.90","-","13,569.75","7,839.15","61.42","5.73"
"NIFTY MIDCAP 50","7,589.30","1.60","7,517.45","7,595.10","7,500.60","7,469.70","7,521.70","7,347.35","6,918.10","3,940.60","7,626.70","3,776.85","89.56","7.97"
"NIFTY MIDCAP 100","27,268.45","1.57","27,055.90","27,294.10","27,022.70","26,847.80","27,042.80","26,362.55","24,776.80","-","27,373.70","13,576.55","89.63","8.36"
"NIFTY SMALLCAP 100","9,698.05","1.61","9,607.40","9,705.75","9,605.00","9,544.00","9,674.40","9,440.35","8,870.60","4,414.15","9,755.05","4,206.55","116.21","7.59"
"INDIA VIX","15.00","1.69","14.75","15.20","14.18","14.75","15.23","15.75","20.23","30.21","35.31","11.95","-51.16","-27.06"
"NIFTY MIDCAP 150","10,236.95","1.47","10,165.45","10,244.45","10,157.45","10,088.95","10,162.60","9,907.55","9,308.20","-","10,279.05","5,165.35","87.33","8.39"
"NIFTY SMALLCAP 50","4,863.00","1.70","4,815.85","4,867.95","4,811.05","4,781.60","4,844.55","4,720.90","4,395.00","2,074.45","4,884.15","1,969.80","130.50","8.80"
"NIFTY SMALLCAP 250","8,373.10","1.61","8,296.35","8,379.35","8,296.35","8,240.05","8,343.05","8,138.80","7,588.00","-","8,422.80","3,720.50","109.60","8.59"
"NIFTY MIDSMALLCAP 400","9,567.15","1.51","9,493.95","9,573.00","9,491.25","9,424.65","9,508.45","9,271.60","8,690.30","-","9,609.45","4,645.15","93.22","8.45"
"NIFTY BANK","35,131.20","0.95","34,903.60","35,165.65","34,734.40","34,800.50","35,085.30","35,649.00","33,142.40","-","37,708.75","19,507.05","65.44","5.00"
"NIFTY AUTO","10,722.70","-0.11","10,773.85","10,781.50","10,681.90","10,734.40","10,873.90","10,647.65","9,973.05","6,577.70","11,093.15","6,074.15","63.19","7.63"
"NIFTY FINANCIAL SERVICES","16,667.25","1.21","16,510.50","16,685.15","16,437.45","16,467.35","16,576.00","16,780.65","15,904.75","10,163.35","17,654.45","9,585.50","62.03","3.54"
"NIFTY FINANCIAL SERVICES 25/50","16,704.25","1.40","16,519.80","16,718.05","16,443.20","16,474.15","16,573.05","16,620.85","15,789.70","-","-","-","-","4.33"
"NIFTY FMCG","35,731.30","0.40","35,564.45","35,901.75","35,448.60","35,588.95","35,672.45","35,266.50","34,204.25","29,524.90","35,901.75","28,319.10","20.54","4.05"
"NIFTY IT","27,798.00","0.94","27,676.50","27,822.10","27,649.95","27,539.00","27,623.80","26,987.90","26,273.45","-","27,822.10","14,123.55","84.89","4.82"
"NIFTY MEDIA","1,900.10","4.64","1,830.10","1,913.00","1,826.15","1,815.80","1,854.75","1,799.65","1,606.55","1,320.85","1,913.00","1,233.50","37.47","13.02"
"NIFTY METAL","5,265.20","1.07","5,247.70","5,306.60","5,244.70","5,209.45","5,258.90","5,268.05","5,503.35","2,022.50","5,524.25","1,872.40","157.57","-5.34"
"NIFTY PHARMA","14,313.90","1.38","14,140.90","14,369.35","14,138.50","14,118.90","14,189.85","14,114.40","14,131.85","10,122.05","14,369.35","9,687.95","39.49","-0.09"
"NIFTY PSU BANK","2,487.65","2.40","2,449.50","2,501.65","2,438.60","2,429.25","2,464.50","2,495.75","2,145.40","1,347.90","2,660.60","1,232.55","80.22","13.23"
"NIFTY PRIVATE BANK","18,511.80","0.90","18,394.80","18,528.40","18,308.55","18,346.35","18,506.95","18,674.30","17,669.95","11,312.90","20,068.55","10,702.20","62.17","3.83"
"NIFTY REALTY","361.60","3.34","351.70","363.25","351.60","349.90","355.80","352.10","310.05","202.65","365.60","192.40","72.66","12.85"
"NIFTY DIVIDEND OPPORTUNITIES 50","3,309.65","0.37","3,308.25","3,318.10","3,301.05","3,297.40","3,309.05","3,249.95","3,155.05","2,231.25","3,332.55","2,122.70","47.78","4.51"
"NIFTY GROWTH SECTORS 15","7,588.40","0.35","7,560.30","7,613.60","7,545.35","7,561.85","7,593.80","7,561.80","7,341.90","5,055.80","7,694.25","4,812.75","49.57","3.00"
